"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Specimens_per_Lot"
"1",1,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,22.3,12.47,0.56,3.14,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,4
"2",2,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,25.21,14.24,0.57,3.38,0.41,NA,NA,0,0,0,0,0,0,1,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,4
"3",3,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,25.23,14.66,0.58,3.51,0.45,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,4
"4",4,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,28.6,16.35,0.57,3.69,0.34,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,4
"5",5,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,8.33,4.47,0.54,0.71,0.23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"6",6,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,8.37,4.76,0.57,0.82,0.15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"7",7,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,13.47,8.02,0.6,1.63,0.44,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"8",8,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,12.85,7.43,0.58,1.64,0.37,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"9",9,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,18.27,10.2,0.56,1.81,0.51,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"10",10,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,18.61,11.41,0.61,2.46,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"11",11,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,19.63,11.12,0.57,2.77,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"12",12,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,19.86,11.81,0.6,2.83,0.41,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,8
"13",13,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,9.09,5.42,0.6,0.87,0.29,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"14",14,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.52,6.84,0.59,1.09,0.28,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"15",15,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.92,6.84,0.57,1.28,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"16",16,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.88,6.97,0.59,1.4,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
"17",17,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,12.99,7.88,0.61,1.6,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,12
